par,MSE_CV,DE_pliegues,columnas
x1*x11,20.067056101428086,2.600928673625176,18
x5*x7,46.700543579989635,5.8657350152308,18
x1*x6,46.8238006892924,5.744940712320006,18
x7*x10,46.83093181160523,5.8606413132800315,18
x6*x12,46.86783603970871,5.72470823779134,18
x5*x10,46.8947751467593,5.61031538534149,18
x1*x3,46.947235336552396,5.819602195717319,18
x1*x10,46.948491544674546,5.680588322576179,18
x6*x7,46.95646776288344,5.726506999316112,18
x8*x11,47.01015609841541,5.632206349919575,18
x3*x12,47.03256278902214,5.553542420084848,18
x4*x11,47.04461602124301,6.000972286983677,18
x3*x7,47.04766964029463,5.79609101330519,18
x5*x12,47.05684067297654,5.725674613775325,18
x2*x8,47.057388087878884,5.713140806343045,18
x4*x8,47.05870607502342,5.653116204865294,18
x2*x5,47.06047395313629,5.831499819905158,18
x9*x12,47.06471327669006,5.837956118331574,18
x7*x8,47.07428559904288,5.799926429647868,18
x3*x11,47.074477533553214,5.685806680798592,18
x3*x4,47.078582354934554,5.764366436715686,18
x4*x12,47.080257350127866,5.612951064405819,18
x2*x10,47.08325713816038,5.757327327685987,18
x3*x8,47.09203769331341,5.777503129325265,18
x7*x9,47.09390874262148,5.751293818797199,18
x6*x9,47.0950656225695,5.730233481687887,18
x8*x12,47.09557466785608,5.913420620236437,18
x4*x9,47.09840460674297,5.727427551139464,18
x2*x11,47.1046136609791,5.705093316283686,18
x1*x12,47.10461428171658,5.84428400236892,18
x2*x9,47.1137372370114,5.779699420723408,18
x1*x9,47.124182927146784,5.7239663794102436,18
x4*x7,47.130091801587824,5.898761039155587,18
x3*x9,47.13561977226917,5.7502249875230955,18
x3*x5,47.13606065653945,6.008109517259077,18
x1*x4,47.140402954125406,5.730136480525625,18
x7*x12,47.149082364026945,5.882024290887784,18
x2*x4,47.15270570651292,5.742924351400473,18
x2*x12,47.154064332731586,5.6999334358456,18
x2*x7,47.15434023962032,5.801800332870701,18
x2*x6,47.15961299596395,5.807042436924787,18
x4*x5,47.165567932151966,5.788831761347145,18
x4*x10,47.16776009363067,5.816496965929237,18
x2*x3,47.17354106025226,5.726986261014611,18
x10*x11,47.184540828899415,5.718932045566131,18
x4*x6,47.18761018341235,5.69154031888362,18
x5*x9,47.19169530016458,5.753782601219318,18
x1*x2,47.19240608370085,5.789382867368013,18
x1*x8,47.19526711396575,5.959020684619314,18
x3*x10,47.195513909256114,5.742030241854629,18
x9*x10,47.21097692316913,5.726507498025128,18
x5*x6,47.215129212460766,5.8547911976972475,18
x5*x8,47.22105333237113,5.76251177543068,18
x8*x9,47.23017424740547,5.893559316641598,18
x6*x11,47.23513194047624,5.791371564102298,18
x8*x10,47.23598437827288,5.711624067301968,18
x6*x8,47.236649509348695,5.862092426911599,18
x7*x11,47.24032439256039,5.705289722682116,18
x11*x12,47.24433488671282,5.658982070400862,18
x9*x11,47.25118617723475,5.8303660959407075,18
x10*x12,47.25681750256835,5.712116498290369,18
x3*x6,47.28344009455061,5.676718461697454,18
x1*x5,47.299647247769414,5.901847709929801,18
x6*x10,47.30217691132232,5.80374754437014,18
x5*x11,47.330867501964924,5.762625586952904,18
x1*x7,47.410500395136545,5.7195510880872,18
