modelo,MSE,RMSE,R2
Baseline,99.66787626127571,9.983380001846855,0.3938431027374575
Lineal compacto,19.322739753174755,4.395763841833949,0.8824835803193818
Polinomio grado 3 + LassoCV,58.062041028219454,7.619845210253254,0.6468801387306146
