familia,frecuencia,MSE_CV,DE_pliegues,columnas
seno,0.25,44.93890911963244,5.460787886704374,7
seno,0.5,44.829539777671094,5.537533657018534,7
seno,0.75,45.03590279332157,5.868692526081582,7
seno,1.0,19.59499518638491,2.5837862361907526,7
seno,1.25,45.16146369169166,5.406917538728553,7
seno,1.5,45.115068937756845,5.470515148419883,7
seno,2.0,45.22997372168079,5.531052885066431,7
coseno,0.25,45.19704111692841,5.4353936410248584,7
coseno,0.5,45.19907357121802,5.536344614246869,7
coseno,0.75,45.105467549825406,5.6713854094933644,7
coseno,1.0,45.183163524916225,5.568131259696304,7
coseno,1.25,45.206389934067616,5.869851194818859,7
coseno,1.5,44.954191473595586,5.319231964780073,7
coseno,2.0,44.87590006388675,5.292617527484506,7
