modelo,MSE_CV,DE_pliegues,columnas
Lineal crudo,104.66551268297876,15.090983818116012,12
Lineal compacto,19.594995186384907,2.583786236190753,7
Polinomio grado 3 + LassoCV,57.34923663799975,6.783958717838354,454
Polinomio grado 2 + OLS,71.77178391105525,14.688618873554363,90
Polinomio grado 3 + OLS,25089.063913224985,41000.24093813259,454
