pliegue,baseline,compacto,lasso
1,108.20740311349046,18.630432091535827,53.99352357012696
2,80.72641768486368,16.578809033935034,57.914505370884086
3,118.53133468206892,21.410454814395475,64.33854133663853
4,120.92125064804883,20.311991352472692,58.01002683131175
5,112.51747029157278,21.346878991765042,66.72077060715961
6,110.14263519734621,23.712269539774752,63.402968486876524
7,119.03371972949193,15.925330998637987,51.81493034229928
8,81.5270254370164,16.93915022623875,43.070933127890854
9,77.63450047943664,18.25662150974237,52.997218303574996
10,128.54574009092417,22.51871783634639,69.94671991561806
11,80.95460839421433,20.494677561866265,56.080566700897286
12,109.81410571955836,17.46682589684414,60.86764098561275
13,119.98635979461997,20.896250208856504,55.01223825463311
14,111.3974908244008,22.552436214301306,59.81071364177098
15,97.02399332149288,17.495929212057156,50.628543085839325
16,108.54202822227805,21.766133371862576,53.21177424418697
17,97.60460237324742,22.768588060615368,62.45171551778537
18,94.80401056804163,15.842700401557048,46.60627711466857
19,112.32253738756572,20.80000840875215,64.11988007235021
20,103.0730196998961,16.18569799614131,55.98524524986988
